,id_number,source,year,geographic_location_cleaned,hdi,demers_pelag,env_temp,form_clean,species_from_search,family,paper_id,nutrient,value,nut,species_short,species,country_sampled
93,A_31,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Lepidocephalichthys guntea,Cobitidae,Bogard_12,Iron,3.3,fe,L. gun.,Lepidocephalichthys guntea,Bangladesh
94,A_31,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Lepidocephalichthys guntea,Cobitidae,Bogard_12,Selenium,36,se,L. gun.,Lepidocephalichthys guntea,Bangladesh
95,A_31,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Lepidocephalichthys guntea,Cobitidae,Bogard_12,Vitamin A,76,vit_a,L. gun.,Lepidocephalichthys guntea,Bangladesh
96,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Protein,15.7,protein,P. sop.,Puntius sophore,Bangladesh
97,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Zinc,2.9,zn,P. sop.,Puntius sophore,Bangladesh
98,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Calcium,1042,ca,P. sop.,Puntius sophore,Bangladesh
99,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Iron,2.2,fe,P. sop.,Puntius sophore,Bangladesh
100,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Selenium,9.5,se,P. sop.,Puntius sophore,Bangladesh
101,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Vitamin A,54,vit_a,P. sop.,Puntius sophore,Bangladesh
102,A_32,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Puntius sophore,Cyprinidae,Bogard_12,Omega-3,0.329,o3,P. sop.,Puntius sophore,Bangladesh
