,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
ExMu[550],2.728,1.757,0.176,5.716,0.112,0.079,245.0,245.0,159.0,264.0,1.08
ExMu[551],2.474,1.599,0.154,5.222,0.083,0.059,370.0,370.0,250.0,279.0,1.07
ExMu[552],4.931,1.437,2.502,7.674,0.148,0.105,94.0,94.0,101.0,1493.0,1.03
ExMu[553],4.931,1.437,2.502,7.674,0.148,0.105,94.0,94.0,101.0,1493.0,1.03
ExMu[554],4.931,1.437,2.502,7.674,0.148,0.105,94.0,94.0,101.0,1493.0,1.03
ExMu[555],1.086,0.284,0.613,1.656,0.009,0.007,910.0,910.0,701.0,1232.0,1.06
ExMu[556],0.878,0.216,0.511,1.3,0.01,0.007,511.0,511.0,406.0,1572.0,1.04
ExMu[557],0.783,0.177,0.48,1.137,0.007,0.005,724.0,682.0,771.0,2254.0,1.07
ExMu[558],1.586,0.512,0.715,2.59,0.013,0.009,1529.0,1529.0,1362.0,1718.0,1.07
ExMu[559],1.066,0.323,0.523,1.745,0.032,0.024,105.0,92.0,108.0,46.0,1.04
ExMu[560],2.494,0.768,1.216,3.874,0.092,0.065,70.0,70.0,75.0,515.0,1.04
ExMu[561],0.693,0.266,0.299,1.173,0.014,0.01,341.0,341.0,840.0,1541.0,1.05
ExMu[562],0.745,0.142,0.51,1.026,0.008,0.006,298.0,273.0,346.0,1569.0,1.06
ExMu[563],0.762,0.297,0.298,1.287,0.014,0.01,478.0,478.0,230.0,45.0,1.1
ExMu[564],0.526,0.27,0.145,0.997,0.008,0.005,1246.0,1246.0,1623.0,1298.0,1.07
ExMu[565],0.379,0.079,0.24,0.531,0.004,0.003,313.0,293.0,372.0,744.0,1.09
ExMu[566],0.664,0.118,0.443,0.88,0.003,0.002,1957.0,1957.0,1742.0,2499.0,1.06
ExMu[567],1.131,0.287,0.635,1.663,0.007,0.005,1936.0,1936.0,1228.0,2385.0,1.07
ExMu[568],1.469,0.368,0.792,2.132,0.016,0.012,499.0,471.0,669.0,2378.0,1.05
ExMu[569],1.945,0.52,1.064,2.932,0.021,0.015,628.0,605.0,726.0,2505.0,1.02
ExMu[570],1.074,0.322,0.479,1.622,0.042,0.03,60.0,60.0,50.0,1037.0,1.05
ExMu[571],2.886,0.676,1.882,4.275,0.112,0.08,36.0,36.0,35.0,460.0,1.07
ExMu[572],1.367,0.331,0.753,1.949,0.034,0.024,95.0,95.0,117.0,476.0,1.03
ExMu[573],2.096,0.465,1.256,2.922,0.064,0.045,53.0,53.0,59.0,2371.0,1.05
ExMu[574],4.319,1.138,2.341,6.54,0.059,0.052,372.0,240.0,436.0,1009.0,1.07
ExMu[575],0.974,0.356,0.452,1.633,0.041,0.029,77.0,77.0,68.0,2182.0,1.04
ExMu[576],1.82,0.596,0.778,2.93,0.064,0.046,86.0,86.0,109.0,1546.0,1.04
ExMu[577],9.499,6.161,0.642,19.421,0.449,0.318,188.0,188.0,90.0,290.0,1.04
ExMu[578],1.094,0.394,0.519,1.847,0.009,0.006,2092.0,2092.0,2324.0,2137.0,1.06
ExMu[579],5.765,1.833,2.909,9.235,0.296,0.211,38.0,38.0,34.0,1134.0,1.08
ExMu[580],0.833,0.268,0.429,1.333,0.03,0.021,79.0,79.0,115.0,523.0,1.03
ExMu[581],1.367,0.331,0.753,1.949,0.034,0.024,95.0,95.0,117.0,476.0,1.03
ExMu[582],0.956,0.286,0.474,1.496,0.042,0.03,48.0,48.0,46.0,2132.0,1.06
ExMu[583],1.835,0.597,0.787,2.872,0.071,0.051,70.0,70.0,55.0,1794.0,1.05
ExMu[584],0.712,0.157,0.429,1.011,0.005,0.004,816.0,742.0,851.0,682.0,1.08
ExMu[585],1.426,0.76,0.605,2.807,0.114,0.081,44.0,44.0,18.0,156.0,1.15
ExMu[586],6.375,3.601,1.158,12.247,0.958,0.692,14.0,14.0,11.0,23.0,1.26
