mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
438.18,261.083,92.978,875.547,3.815,2.892,4683.0,4075.0,5093.0,3604.0,1.0
403.398,205.563,103.817,771.106,3.2,2.333,4126.0,3883.0,4317.0,3534.0,1.0
403.398,205.563,103.817,771.106,3.2,2.333,4126.0,3883.0,4317.0,3534.0,1.0
499.562,269.438,136.697,981.345,4.394,3.447,3760.0,3055.0,4469.0,3488.0,1.0
466.264,263.654,117.564,940.015,4.334,3.286,3701.0,3220.0,4481.0,3507.0,1.0
466.264,263.654,117.564,940.015,4.334,3.286,3701.0,3220.0,4481.0,3507.0,1.0
178.183,97.034,50.219,348.295,1.426,1.058,4632.0,4206.0,4567.0,3593.0,1.0
570.137,291.735,143.931,1093.192,4.507,3.23,4190.0,4079.0,4291.0,3975.0,1.0
574.658,284.994,157.53,1061.328,4.641,3.512,3772.0,3293.0,4272.0,3551.0,1.0
121.942,69.957,26.365,241.778,1.044,0.795,4493.0,3869.0,4871.0,3549.0,1.0
132.195,65.973,34.554,256.873,1.054,0.79,3917.0,3492.0,4354.0,3683.0,1.0
86.424,51.303,18.134,178.37,0.766,0.596,4489.0,3709.0,5334.0,3480.0,1.0
178.31,87.789,49.745,335.792,1.346,1.049,4254.0,3499.0,4662.0,3618.0,1.0
213.077,103.798,59.522,403.245,1.527,1.174,4624.0,3908.0,4926.0,3416.0,1.0
244.236,131.066,60.079,474.075,1.964,1.54,4451.0,3620.0,4900.0,3180.0,1.0
151.914,86.684,30.118,303.936,1.231,0.944,4956.0,4217.0,5212.0,3469.0,1.0
272.549,154.316,61.932,542.558,2.216,1.666,4851.0,4291.0,4725.0,3216.0,1.0
194.49,103.542,46.951,373.993,1.521,1.146,4631.0,4082.0,5008.0,3634.0,1.0
215.469,117.24,55.083,422.624,1.768,1.304,4395.0,4045.0,4556.0,3492.0,1.0
297.515,167.639,78.193,585.251,2.384,1.801,4943.0,4334.0,5303.0,3729.0,1.0
499.607,326.649,74.296,1059.097,4.896,3.731,4450.0,3833.0,4893.0,3410.0,1.0
799.425,521.901,129.474,1698.958,7.628,5.812,4681.0,4032.0,5133.0,3580.0,1.0
60.221,19.464,28.237,96.252,0.296,0.214,4310.0,4125.0,4462.0,3294.0,1.0
270.946,73.279,144.529,404.218,1.078,0.791,4622.0,4293.0,4643.0,3665.0,1.0
277.923,95.803,112.054,448.011,1.402,1.036,4667.0,4279.0,4850.0,3395.0,1.0
467.507,156.322,195.69,742.462,2.292,1.767,4651.0,3915.0,5193.0,2776.0,1.0
311.999,84.33,168.263,467.263,1.216,0.906,4808.0,4328.0,5054.0,3216.0,1.0
373.393,137.925,162.964,616.736,2.128,1.567,4202.0,3872.0,4385.0,3718.0,1.0
