,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Gen_nc[111],0.956,0.842,-0.593,2.528,0.018,0.013,2175.0,2175.0,2196.0,2135.0,1.0
Gen_nc[112],-0.991,0.869,-2.467,0.759,0.043,0.03,412.0,412.0,480.0,178.0,1.01
Gen_nc[113],0.123,0.758,-1.289,1.553,0.014,0.014,2828.0,1449.0,2850.0,2028.0,1.0
benthopelagic,0.303,0.466,-0.548,1.201,0.015,0.011,979.0,842.0,981.0,1522.0,1.0
demersal,-0.155,0.469,-1.037,0.721,0.014,0.01,1096.0,1042.0,1096.0,1355.0,1.01
pelagic,-0.069,0.58,-1.182,1.012,0.018,0.013,1011.0,1011.0,1009.0,1624.0,1.0
pelagic_neritic,-0.144,0.487,-1.06,0.773,0.017,0.012,800.0,800.0,798.0,1326.0,1.01
pelagic_oceanic,0.535,0.732,-0.769,1.956,0.029,0.023,656.0,511.0,647.0,1381.0,1.01
reef_associated,0.982,0.53,-0.067,1.934,0.016,0.011,1081.0,1081.0,1084.0,1493.0,1.0
polar_deep,0.153,0.666,-1.079,1.415,0.018,0.013,1378.0,1378.0,1385.0,1508.0,1.0
subtropical,0.273,0.56,-0.796,1.289,0.016,0.011,1273.0,1273.0,1282.0,1901.0,1.0
temperate,0.184,0.568,-0.923,1.229,0.016,0.011,1328.0,1328.0,1333.0,1698.0,1.0
tropical,0.829,0.536,-0.114,1.933,0.015,0.01,1320.0,1320.0,1322.0,1762.0,1.01
MaxDepth,-0.021,0.122,-0.267,0.196,0.007,0.006,296.0,224.0,323.0,79.0,1.01
TL,0.715,0.261,0.176,1.178,0.021,0.022,160.0,71.0,236.0,43.0,1.02
benthic,0.507,0.717,-1.027,1.73,0.04,0.029,315.0,315.0,348.0,63.0,1.02
pelagic,0.771,0.736,-0.776,2.047,0.044,0.031,285.0,285.0,320.0,58.0,1.02
LMax,-0.73,0.154,-1.011,-0.444,0.005,0.003,1154.0,1154.0,1160.0,1474.0,1.0
elongate,0.112,0.34,-0.506,0.753,0.009,0.006,1551.0,1551.0,1550.0,2038.0,1.01
flat,0.005,0.506,-0.929,0.972,0.009,0.009,3533.0,1591.0,3554.0,2548.0,1.0
fusiform,0.211,0.333,-0.385,0.841,0.01,0.007,1161.0,1161.0,1161.0,1353.0,1.01
short_deep,0.077,0.386,-0.65,0.806,0.01,0.007,1564.0,1564.0,1555.0,1502.0,1.01
K,-0.204,0.269,-0.692,0.318,0.009,0.006,1000.0,1000.0,1004.0,1726.0,1.0
tm,0.516,0.283,-0.023,1.037,0.008,0.006,1213.0,1213.0,1214.0,1562.0,1.0
muscle,-0.36,0.491,-1.274,0.559,0.016,0.011,995.0,995.0,999.0,1537.0,1.01
not specified,0.532,0.752,-0.78,2.067,0.037,0.039,417.0,185.0,407.0,102.0,1.01
unknown,0.003,0.677,-1.293,1.214,0.015,0.011,1965.0,1965.0,1966.0,2808.0,1.0
whole,1.211,0.495,0.297,2.146,0.015,0.011,1056.0,1056.0,1055.0,1409.0,1.0
whole_parts,0.013,0.485,-0.852,0.94,0.019,0.013,657.0,657.0,678.0,1015.0,1.01
unknown,0.796,0.752,-0.716,2.076,0.033,0.023,531.0,531.0,556.0,247.0,1.01
wet,0.521,0.715,-0.781,1.811,0.034,0.024,441.0,441.0,450.0,827.0,1.01
Sigma_order,0.354,0.259,0.002,0.801,0.009,0.006,814.0,814.0,759.0,1363.0,1.01
Perciformes,1.42,0.893,-0.347,3.013,0.021,0.015,1835.0,1835.0,1833.0,2201.0,1.0
Beloniformes,1.799,0.947,-0.058,3.492,0.023,0.017,1730.0,1503.0,1743.0,1672.0,1.0
Clupeiformes,1.302,0.904,-0.471,2.931,0.022,0.016,1701.0,1701.0,1693.0,2130.0,1.0
Pleuronectiformes,1.367,0.954,-0.408,3.144,0.025,0.018,1426.0,1426.0,1417.0,2257.0,1.0
Gadiformes,1.336,0.939,-0.402,3.169,0.023,0.016,1670.0,1670.0,1676.0,2393.0,1.0
Salmoniformes,1.438,0.931,-0.282,3.232,0.021,0.015,2027.0,2027.0,2018.0,2234.0,1.0
Mugiliformes,1.538,0.935,-0.311,3.158,0.02,0.015,2097.0,1898.0,2093.0,2546.0,1.0
Myctophiformes,1.555,0.939,-0.256,3.244,0.02,0.014,2159.0,2123.0,2136.0,2539.0,1.0
Aulopiformes,1.298,0.979,-0.531,3.102,0.023,0.017,1760.0,1760.0,1766.0,2158.0,1.0
Synbranchiformes,1.533,0.905,-0.191,3.226,0.02,0.014,2111.0,2050.0,2102.0,2638.0,1.0
Cypriniformes,1.758,0.904,0.091,3.417,0.024,0.017,1421.0,1421.0,1441.0,2069.0,1.0
Siluriformes,1.512,0.897,-0.225,3.142,0.02,0.014,2090.0,1936.0,2086.0,2384.0,1.0
Osteoglossiformes,1.539,0.948,-0.273,3.261,0.024,0.017,1612.0,1534.0,1617.0,2392.0,1.0
Anguilliformes,1.468,0.944,-0.249,3.326,0.021,0.015,1956.0,1955.0,1950.0,2270.0,1.0
Sigma_family,0.372,0.222,0.001,0.75,0.011,0.008,438.0,438.0,431.0,901.0,1.01
Sillaginidae,1.536,0.963,-0.268,3.313,0.022,0.016,1951.0,1891.0,1952.0,2282.0,1.0
Gobiidae,1.291,0.96,-0.477,3.123,0.023,0.016,1699.0,1699.0,1721.0,2452.0,1.0
Hemiramphidae,2.054,0.996,0.19,3.953,0.024,0.017,1765.0,1646.0,1769.0,1683.0,1.0
