,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Limanda,1.308,1.364,-0.959,4.52,0.241,0.249,32.0,16.0,50.0,13.0,1.06
Aphanopus,1.722,1.067,0.058,4.079,0.142,0.148,57.0,27.0,64.0,19.0,1.05
Aldrichetta,2.05,1.188,0.144,4.215,0.132,0.12,80.0,50.0,79.0,45.0,1.04
Sillaginodes,1.614,1.139,-0.207,3.901,0.141,0.138,65.0,35.0,66.0,42.0,1.05
Mustelus,1.269,1.161,-0.547,3.604,0.14,0.147,69.0,32.0,65.0,25.0,1.05
Sardinops,2.057,1.24,-0.024,4.808,0.202,0.202,38.0,19.0,51.0,12.0,1.06
Spratelloides,2.062,1.176,0.013,4.273,0.129,0.115,82.0,53.0,93.0,96.0,1.03
Epinephelus,1.337,1.097,-0.636,3.519,0.155,0.157,50.0,25.0,58.0,18.0,1.05
Katsuwonus,1.644,1.244,-0.144,4.617,0.201,0.205,38.0,19.0,53.0,12.0,1.06
Eubleekeria,2.271,1.157,0.403,4.545,0.138,0.131,71.0,39.0,76.0,36.0,1.04
Sardinella,2.306,1.061,0.627,4.481,0.128,0.115,68.0,43.0,69.0,27.0,1.05
Trichiurus,2.634,1.207,0.766,5.264,0.165,0.155,53.0,31.0,57.0,15.0,1.06
Oncorhynchus,3.559,1.17,1.755,5.951,0.148,0.123,62.0,46.0,75.0,42.0,1.04
Schizothorax,3.04,1.216,1.172,5.451,0.158,0.137,59.0,40.0,57.0,16.0,1.05
Lates,1.973,1.142,0.197,4.256,0.148,0.137,60.0,35.0,71.0,35.0,1.05
Mugil,2.177,1.134,0.077,4.211,0.144,0.134,62.0,36.0,64.0,20.0,1.05
Amblygaster,1.935,1.136,0.069,4.077,0.134,0.123,72.0,43.0,70.0,47.0,1.04
Auxis,1.347,1.073,-0.569,3.349,0.08,0.064,181.0,142.0,179.0,502.0,1.02
Decapterus,2.001,1.114,0.24,4.151,0.131,0.127,72.0,39.0,64.0,30.0,1.05
Encrasicholina,1.745,1.306,-0.032,5.385,0.25,0.251,27.0,14.0,53.0,11.0,1.07
Equulites,1.046,1.274,-0.786,4.241,0.223,0.231,33.0,16.0,49.0,12.0,1.06
Karalla,1.589,1.206,-0.568,4.008,0.175,0.177,48.0,24.0,55.0,23.0,1.06
Photopectoralis,1.05,1.197,-0.716,3.779,0.178,0.194,45.0,20.0,53.0,15.0,1.06
Rastrelliger,1.189,1.179,-0.757,3.401,0.132,0.117,80.0,51.0,90.0,110.0,1.03
Sillago,0.977,1.181,-0.887,3.394,0.155,0.161,58.0,28.0,66.0,33.0,1.05
Carangoides,0.069,1.119,-1.641,2.491,0.148,0.122,57.0,43.0,72.0,43.0,1.04
Diagramma,1.327,1.16,-0.474,3.924,0.167,0.166,49.0,25.0,55.0,24.0,1.05
Lethrinus,1.579,1.047,-0.075,3.826,0.134,0.135,61.0,31.0,69.0,25.0,1.05
Lutjanus,1.977,1.069,-0.008,4.067,0.151,0.147,50.0,27.0,60.0,15.0,1.05
Nemipterus,1.045,1.18,-0.818,3.68,0.178,0.176,44.0,23.0,65.0,24.0,1.05
Selar,2.238,1.231,0.45,5.148,0.188,0.183,43.0,23.0,57.0,13.0,1.05
Sphyraena,1.215,1.124,-0.939,3.347,0.16,0.169,50.0,23.0,58.0,18.0,1.05
Dussumieria,2.891,1.134,0.936,5.261,0.165,0.154,47.0,28.0,59.0,15.0,1.05
Megalaspis,1.838,1.271,-0.108,4.702,0.198,0.185,41.0,24.0,50.0,21.0,1.06
Benthosema,2.632,1.074,0.571,4.519,0.082,0.066,172.0,133.0,170.0,210.0,1.02
Bregmaceros,2.277,1.13,0.375,4.358,0.117,0.102,94.0,62.0,99.0,36.0,1.03
Harpadon,0.436,1.179,-1.476,2.895,0.163,0.179,52.0,22.0,54.0,18.0,1.06
Pentaprion,1.468,1.241,-0.327,4.226,0.196,0.19,40.0,22.0,47.0,15.0,1.06
Caranx,1.477,1.003,-0.593,3.094,0.078,0.06,167.0,139.0,165.0,395.0,1.02
Aethaloperca,1.969,1.094,0.305,4.402,0.147,0.147,55.0,28.0,61.0,18.0,1.05
Aprion,1.178,1.008,-0.583,2.975,0.089,0.083,127.0,75.0,123.0,205.0,1.03
Cephalopholis,1.459,1.057,-0.627,3.305,0.127,0.13,69.0,33.0,70.0,24.0,1.05
Ctenochaetus,1.017,1.153,-0.732,3.608,0.157,0.178,54.0,22.0,59.0,13.0,1.05
Monotaxis,1.981,1.108,-0.039,4.193,0.158,0.155,49.0,26.0,56.0,18.0,1.05
Parupeneus,1.884,1.085,0.163,4.023,0.128,0.125,71.0,39.0,74.0,33.0,1.04
Acanthurus,0.884,1.357,-1.055,4.55,0.248,0.268,30.0,13.0,54.0,12.0,1.06
Calotomus,0.359,1.162,-1.77,2.243,0.109,0.077,114.0,114.0,115.0,230.0,1.03
Cantherhines,1.68,1.168,-0.273,3.781,0.127,0.118,85.0,50.0,95.0,132.0,1.04
Cheilinus,1.423,1.112,-0.579,3.619,0.154,0.161,52.0,24.0,58.0,16.0,1.05
Chlorurus,1.339,1.152,-0.531,3.568,0.136,0.14,72.0,34.0,71.0,27.0,1.04
Coris,1.392,1.073,-0.535,3.276,0.109,0.105,97.0,53.0,95.0,68.0,1.03
Epibulus,1.357,1.169,-0.555,3.703,0.135,0.146,75.0,33.0,73.0,29.0,1.05
Hemigymnus,1.326,1.133,-0.666,3.344,0.114,0.106,99.0,57.0,100.0,107.0,1.03
Oxycheilinus,1.47,1.178,-0.489,3.709,0.132,0.117,79.0,52.0,81.0,43.0,1.04
Scarus,0.625,1.133,-1.348,3.09,0.173,0.198,43.0,17.0,55.0,14.0,1.06
Siganus,0.696,1.136,-1.13,3.096,0.142,0.157,64.0,27.0,70.0,28.0,1.05
Zebrasoma,0.396,1.214,-1.447,2.973,0.163,0.161,55.0,29.0,64.0,27.0,1.05
Mastacembelus,0.3,1.298,-1.609,3.441,0.216,0.243,36.0,15.0,54.0,12.0,1.06
Trichogaster,1.468,1.242,-0.742,3.946,0.199,0.205,39.0,19.0,51.0,13.0,1.06
Parambassis,1.294,1.164,-0.535,3.549,0.146,0.132,64.0,39.0,72.0,50.0,1.04
Gudusia,1.162,1.126,-0.595,3.361,0.136,0.137,69.0,34.0,84.0,77.0,1.05
Chela,1.605,1.105,-0.752,3.338,0.104,0.082,113.0,91.0,119.0,169.0,1.02
Esomus,1.231,1.174,-0.6,3.595,0.162,0.163,53.0,27.0,55.0,17.0,1.05
Osteobrama,1.465,1.166,-0.333,3.963,0.161,0.165,53.0,26.0,55.0,14.0,1.05
Notopterus,0.807,1.297,-1.495,3.718,0.242,0.25,29.0,14.0,45.0,12.0,1.06
Mystus,1.609,1.126,-0.414,3.908,0.168,0.169,45.0,23.0,57.0,16.0,1.05
Macrognathus,1.441,1.159,-0.35,3.891,0.151,0.14,59.0,35.0,70.0,45.0,1.04
Lepidocephalichthys,1.612,1.146,-0.333,3.824,0.126,0.108,83.0,57.0,97.0,132.0,1.03
Puntius,1.091,1.198,-0.621,3.836,0.173,0.176,48.0,24.0,60.0,36.0,1.05
Ailia,1.321,1.177,-0.56,3.519,0.134,0.124,77.0,46.0,84.0,57.0,1.03
Anabas,2.034,1.129,0.362,4.64,0.162,0.159,49.0,26.0,59.0,14.0,1.05
Clarias,1.917,1.101,0.051,3.863,0.111,0.093,98.0,71.0,102.0,156.0,1.03
Nandus,1.294,1.201,-0.714,3.627,0.143,0.127,71.0,45.0,77.0,35.0,1.04
Ompok,1.09,1.134,-0.76,3.064,0.12,0.1,90.0,65.0,97.0,199.0,1.03
Amblypharyngodon,0.891,1.207,-1.344,3.344,0.183,0.196,44.0,20.0,61.0,16.0,1.05
Botia,1.5,1.14,-0.569,3.618,0.148,0.148,60.0,30.0,67.0,21.0,1.05
Heteropneustes,1.718,1.118,-0.36,3.8,0.143,0.139,61.0,33.0,67.0,26.0,1.05
Channa,0.793,1.081,-0.854,3.245,0.149,0.164,53.0,22.0,57.0,19.0,1.05
Pethia,0.698,1.053,-0.999,2.787,0.115,0.127,83.0,35.0,80.0,33.0,1.04
Gibelion,1.968,1.128,0.181,4.129,0.114,0.094,98.0,72.0,118.0,217.0,1.02
Cirrhinus,2.412,1.173,0.645,4.988,0.173,0.161,46.0,27.0,53.0,14.0,1.06
Labeo,2.85,1.215,0.982,5.562,0.19,0.173,41.0,25.0,50.0,14.0,1.06
Rutilus,-0.35,1.156,-2.245,1.994,0.153,0.109,57.0,57.0,58.0,26.0,1.05
Cyprinus,-1.189,1.16,-3.057,0.955,0.12,0.085,93.0,93.0,100.0,69.0,1.03
Sander,-0.573,1.209,-2.834,1.607,0.163,0.116,55.0,55.0,58.0,21.0,1.05
Perca,1.503,1.109,-0.491,3.614,0.096,0.082,133.0,92.0,140.0,195.0,1.02
Lota,1.468,1.157,-0.477,3.571,0.124,0.117,87.0,50.0,91.0,79.0,1.03
Esox,2.034,1.088,0.21,4.232,0.089,0.069,148.0,126.0,153.0,228.0,1.02
Thymallus,2.577,1.172,0.72,5.027,0.146,0.124,64.0,45.0,77.0,57.0,1.04
Sigma,0.618,0.036,0.555,0.69,0.002,0.002,260.0,257.0,272.0,350.0,1.02
ExMu[0],33.082,10.551,16.34,52.845,0.53,0.375,396.0,396.0,277.0,1392.0,1.02
ExMu[1],55.655,19.533,22.219,90.849,0.51,0.361,1467.0,1467.0,1335.0,1899.0,1.01
