,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Fam_nc[78],0.045,0.849,-1.722,1.583,0.03,0.043,814.0,192.0,630.0,1258.0,1.1
Gen_nc[0],-0.12,0.529,-1.105,0.838,0.049,0.035,118.0,118.0,109.0,80.0,1.07
Gen_nc[1],-0.84,0.606,-2.031,0.206,0.046,0.034,174.0,163.0,168.0,999.0,1.06
Gen_nc[2],0.268,0.586,-0.901,1.437,0.027,0.024,481.0,295.0,325.0,1192.0,1.06
Gen_nc[3],1.214,0.919,-0.602,2.618,0.131,0.103,49.0,40.0,56.0,1238.0,1.05
Gen_nc[4],-0.681,0.705,-2.094,0.582,0.06,0.048,137.0,108.0,123.0,1529.0,1.03
Gen_nc[5],0.733,0.811,-0.671,2.144,0.145,0.104,31.0,31.0,36.0,1484.0,1.08
Gen_nc[6],-0.772,1.156,-2.222,1.402,0.344,0.25,11.0,11.0,15.0,35.0,1.19
Gen_nc[7],-0.452,0.728,-1.824,0.843,0.073,0.052,100.0,100.0,134.0,511.0,1.09
Gen_nc[8],-0.037,0.616,-1.294,1.18,0.026,0.025,565.0,303.0,448.0,900.0,1.06
Gen_nc[9],1.081,0.506,0.15,1.935,0.057,0.044,77.0,67.0,77.0,968.0,1.11
Gen_nc[10],1.143,0.643,-0.154,2.127,0.074,0.055,75.0,68.0,64.0,581.0,1.05
Gen_nc[11],-1.105,0.469,-2.106,-0.3,0.041,0.032,130.0,108.0,131.0,1288.0,1.03
Gen_nc[12],0.193,0.618,-0.826,1.391,0.082,0.058,57.0,57.0,58.0,1522.0,1.05
Gen_nc[13],1.032,0.646,0.07,2.259,0.081,0.057,64.0,64.0,78.0,907.0,1.04
Gen_nc[14],-1.019,0.462,-1.933,-0.27,0.07,0.05,43.0,43.0,36.0,990.0,1.08
Gen_nc[15],0.41,0.681,-0.953,1.727,0.029,0.021,561.0,550.0,480.0,1328.0,1.07
Gen_nc[16],-0.218,0.591,-1.384,0.849,0.069,0.049,74.0,74.0,87.0,1302.0,1.04
Gen_nc[17],-0.948,0.737,-2.246,0.578,0.023,0.018,1018.0,830.0,786.0,1378.0,1.07
Gen_nc[18],1.087,0.6,-0.189,2.035,0.052,0.043,133.0,100.0,120.0,509.0,1.08
Gen_nc[19],-0.129,0.721,-1.563,1.202,0.046,0.033,240.0,240.0,215.0,1462.0,1.05
Gen_nc[20],0.8,0.972,-0.765,2.418,0.208,0.149,22.0,22.0,27.0,303.0,1.1
Gen_nc[21],-1.109,0.949,-2.838,0.756,0.062,0.044,235.0,235.0,283.0,1853.0,1.06
Gen_nc[22],-0.28,0.831,-1.642,1.056,0.168,0.12,25.0,25.0,24.0,57.0,1.11
Gen_nc[23],0.593,0.505,-0.425,1.572,0.014,0.013,1249.0,785.0,877.0,1110.0,1.08
Gen_nc[24],-0.639,0.487,-1.537,0.295,0.041,0.029,140.0,140.0,117.0,1123.0,1.06
Gen_nc[25],1.665,0.497,0.702,2.63,0.033,0.024,226.0,209.0,193.0,1030.0,1.1
Gen_nc[26],-0.275,0.448,-1.189,0.548,0.024,0.026,351.0,150.0,279.0,1189.0,1.09
Gen_nc[27],-0.212,0.548,-1.216,0.784,0.072,0.051,59.0,59.0,59.0,1580.0,1.05
Gen_nc[28],-0.727,0.709,-1.813,0.598,0.123,0.088,33.0,33.0,41.0,130.0,1.07
Gen_nc[29],-1.077,1.027,-2.801,1.097,0.18,0.128,33.0,33.0,37.0,19.0,1.1
Gen_nc[30],-0.521,0.948,-1.634,2.077,0.195,0.139,24.0,24.0,34.0,23.0,1.07
Gen_nc[31],-1.007,0.757,-2.488,0.423,0.037,0.039,428.0,188.0,259.0,1330.0,1.07
Gen_nc[32],0.641,0.68,-0.768,1.73,0.059,0.042,133.0,133.0,124.0,1248.0,1.03
Gen_nc[33],-0.605,0.635,-1.729,0.47,0.104,0.074,37.0,37.0,41.0,1197.0,1.07
Gen_nc[34],-0.797,0.708,-2.11,0.52,0.055,0.06,165.0,70.0,157.0,1555.0,1.03
Gen_nc[35],-0.606,0.69,-1.926,0.711,0.037,0.035,351.0,196.0,334.0,1174.0,1.08
Gen_nc[36],-0.492,0.657,-1.853,0.745,0.018,0.028,1378.0,269.0,926.0,1050.0,1.06
Gen_nc[37],-0.205,0.655,-1.469,0.89,0.086,0.07,58.0,45.0,63.0,76.0,1.05
Gen_nc[38],-0.771,0.709,-1.982,0.695,0.056,0.04,161.0,161.0,130.0,1149.0,1.03
Gen_nc[39],0.298,0.427,-0.559,0.97,0.053,0.038,64.0,64.0,56.0,848.0,1.05
Gen_nc[40],-0.561,0.493,-1.565,0.15,0.065,0.046,58.0,58.0,66.0,1412.0,1.05
Gen_nc[41],-0.276,0.452,-1.127,0.593,0.048,0.034,88.0,88.0,109.0,382.0,1.07
Gen_nc[42],-0.242,0.65,-1.626,0.883,0.04,0.029,259.0,259.0,204.0,1253.0,1.03
Gen_nc[43],-0.332,0.645,-1.553,0.956,0.024,0.02,719.0,543.0,486.0,1457.0,1.05
Gen_nc[44],1.017,0.907,-0.828,3.039,0.12,0.145,58.0,20.0,70.0,17.0,1.09
Gen_nc[45],0.012,0.597,-0.956,1.221,0.059,0.047,101.0,80.0,125.0,53.0,1.05
Gen_nc[46],-0.804,1.041,-2.767,1.101,0.078,0.062,176.0,140.0,187.0,1259.0,1.06
Gen_nc[47],0.538,0.722,-0.797,1.952,0.036,0.03,392.0,287.0,334.0,1281.0,1.08
Gen_nc[48],-0.295,0.683,-1.483,1.071,0.055,0.043,156.0,128.0,136.0,1144.0,1.05
Gen_nc[49],-0.622,0.737,-1.942,0.737,0.083,0.059,80.0,80.0,80.0,683.0,1.03
Gen_nc[50],0.036,0.68,-1.24,1.417,0.034,0.027,403.0,324.0,348.0,1229.0,1.04
Gen_nc[51],0.816,0.737,-0.573,2.324,0.03,0.038,597.0,184.0,424.0,1473.0,1.07
Gen_nc[52],0.686,0.69,-0.409,2.141,0.071,0.078,95.0,39.0,115.0,41.0,1.11
Gen_nc[53],1.471,0.578,0.335,2.52,0.045,0.048,165.0,74.0,140.0,788.0,1.05
Gen_nc[54],0.546,0.575,-0.546,1.597,0.047,0.05,149.0,65.0,150.0,855.0,1.09
Gen_nc[55],1.236,0.687,0.142,2.858,0.082,0.08,70.0,38.0,80.0,28.0,1.1
Gen_nc[56],0.747,0.765,-0.896,1.972,0.088,0.062,76.0,76.0,86.0,21.0,1.15
Gen_nc[57],0.226,0.701,-1.008,1.605,0.059,0.042,142.0,142.0,155.0,1501.0,1.09
Gen_nc[58],-0.32,0.713,-1.582,0.73,0.151,0.109,22.0,22.0,21.0,70.0,1.12
Gen_nc[59],-0.526,0.697,-1.734,0.96,0.073,0.052,90.0,90.0,85.0,1395.0,1.03
Gen_nc[60],0.051,0.693,-1.409,1.262,0.046,0.033,226.0,226.0,200.0,1228.0,1.04
Gen_nc[61],-0.066,0.948,-1.221,2.395,0.213,0.153,20.0,20.0,24.0,23.0,1.11
Gen_nc[62],-0.005,0.955,-1.468,1.878,0.123,0.087,61.0,61.0,79.0,97.0,1.06
Gen_nc[63],0.761,0.744,-0.725,2.071,0.047,0.05,252.0,112.0,240.0,1631.0,1.06
Gen_nc[64],0.148,0.691,-1.112,1.446,0.061,0.043,130.0,130.0,107.0,1289.0,1.03
Gen_nc[65],-0.467,0.497,-1.426,0.526,0.024,0.022,430.0,251.0,339.0,953.0,1.03
Gen_nc[66],0.753,0.805,-0.654,2.183,0.121,0.086,45.0,45.0,45.0,54.0,1.06
Gen_nc[67],0.229,0.687,-0.945,1.505,0.084,0.072,66.0,46.0,72.0,146.0,1.07
Gen_nc[68],-0.864,0.542,-1.864,-0.079,0.094,0.067,34.0,34.0,31.0,288.0,1.08
Gen_nc[69],2.1,0.635,0.726,3.133,0.033,0.023,371.0,371.0,520.0,1405.0,1.06
Gen_nc[70],0.032,0.845,-1.524,1.641,0.038,0.048,492.0,158.0,575.0,1522.0,1.1
Gen_nc[71],1.522,0.406,0.681,2.31,0.012,0.01,1097.0,897.0,930.0,1603.0,1.1
Gen_nc[72],0.84,0.611,-0.228,1.943,0.125,0.089,24.0,24.0,25.0,114.0,1.1
Gen_nc[73],0.781,0.695,-0.651,2.113,0.034,0.027,427.0,323.0,345.0,1487.0,1.08
Gen_nc[74],0.664,0.833,-0.764,2.03,0.188,0.173,20.0,12.0,21.0,37.0,1.13
Gen_nc[75],1.953,0.72,0.459,2.98,0.095,0.074,57.0,48.0,53.0,1001.0,1.05
Gen_nc[76],0.248,0.625,-1.053,1.366,0.023,0.018,717.0,611.0,546.0,1534.0,1.08
Gen_nc[77],0.071,0.621,-1.189,1.203,0.041,0.029,234.0,234.0,156.0,1309.0,1.05
Gen_nc[78],0.692,0.856,-1.159,2.075,0.109,0.078,61.0,61.0,80.0,46.0,1.11
