,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Sigma_order,0.551,0.179,0.22,0.904,0.007,0.005,642.0,642.0,626.0,610.0,1.1
Tetraodontiformes,-0.347,0.937,-2.145,1.18,0.151,0.107,39.0,39.0,38.0,1208.0,1.07
Clupeiformes,0.263,0.886,-1.335,1.754,0.161,0.115,30.0,30.0,32.0,1290.0,1.08
Perciformes,-0.33,0.867,-1.979,1.13,0.13,0.092,45.0,45.0,47.0,1324.0,1.06
Mugiliformes,0.163,0.873,-1.492,1.779,0.087,0.062,101.0,101.0,98.0,1346.0,1.03
Rajiformes,0.142,0.991,-1.763,1.669,0.178,0.127,31.0,31.0,33.0,558.0,1.08
Squaliformes,0.201,1.037,-1.71,1.823,0.211,0.151,24.0,24.0,27.0,453.0,1.1
Gadiformes,-0.418,0.957,-2.122,1.112,0.191,0.137,25.0,25.0,27.0,1039.0,1.1
Osmeriformes,0.356,0.936,-1.489,1.772,0.157,0.112,36.0,36.0,36.0,1341.0,1.08
Scorpaeniformes,0.205,1.006,-1.647,1.865,0.181,0.13,31.0,31.0,34.0,1333.0,1.08
Salmoniformes,0.431,1.0,-1.359,2.031,0.186,0.133,29.0,29.0,30.0,539.0,1.09
Pleuronectiformes,-0.767,0.942,-2.462,0.858,0.138,0.098,47.0,47.0,50.0,1306.0,1.06
Anguilliformes,0.059,0.919,-1.715,1.73,0.038,0.027,580.0,580.0,397.0,1430.0,1.02
Carcharhiniformes,-0.436,1.038,-2.299,1.246,0.211,0.151,24.0,24.0,26.0,369.0,1.1
Myliobatiformes,-0.573,0.956,-2.612,1.081,0.031,0.052,928.0,166.0,894.0,1694.0,1.02
Lophiiformes,-0.494,0.94,-2.292,1.276,0.063,0.049,222.0,186.0,214.0,1439.0,1.02
Atheriniformes,0.14,0.958,-1.783,1.562,0.16,0.114,36.0,36.0,38.0,901.0,1.07
Beloniformes,0.185,0.918,-1.464,1.928,0.093,0.066,98.0,98.0,104.0,1315.0,1.04
Myctophiformes,0.467,0.914,-1.304,2.014,0.118,0.084,60.0,60.0,62.0,1694.0,1.05
Aulopiformes,-0.726,1.004,-2.579,0.994,0.137,0.098,53.0,53.0,57.0,1548.0,1.06
Beryciformes,-0.264,0.925,-2.208,1.227,0.1,0.071,86.0,86.0,89.0,1208.0,1.04
Cypriniformes,0.192,0.883,-1.54,1.515,0.139,0.099,40.0,40.0,42.0,1150.0,1.06
Siluriformes,-0.327,0.932,-2.035,1.168,0.167,0.119,31.0,31.0,34.0,1229.0,1.09
Sigma_family,0.187,0.114,0.0,0.383,0.007,0.005,301.0,301.0,288.0,588.0,1.07
Balistidae,-0.327,0.95,-2.135,1.225,0.151,0.107,40.0,40.0,40.0,1041.0,1.07
Clupeidae,0.314,0.871,-1.375,1.71,0.149,0.106,34.0,34.0,35.0,1300.0,1.07
Trichiuridae,-0.366,0.874,-2.046,1.197,0.089,0.063,96.0,96.0,99.0,1459.0,1.03
Mugilidae,0.195,0.863,-1.509,1.75,0.067,0.047,167.0,167.0,162.0,1398.0,1.03
Carangidae,-0.244,0.888,-1.972,1.175,0.138,0.098,42.0,42.0,45.0,1391.0,1.06
Sciaenidae,-0.391,0.893,-2.041,1.148,0.143,0.102,39.0,39.0,42.0,1376.0,1.07
Scombridae,-0.226,0.882,-1.921,1.222,0.121,0.086,53.0,53.0,57.0,1397.0,1.05
Rajidae,0.152,0.962,-1.763,1.662,0.138,0.098,49.0,49.0,52.0,1369.0,1.06
Squalidae,0.24,1.013,-1.562,1.887,0.188,0.135,29.0,29.0,32.0,1207.0,1.08
Centropomidae,-0.297,0.884,-1.983,1.19,0.133,0.095,44.0,44.0,47.0,1364.0,1.06
Merlucciidae,-0.489,0.977,-2.176,1.114,0.202,0.144,23.0,23.0,25.0,637.0,1.11
Gadidae,-0.366,0.956,-2.099,1.158,0.187,0.133,26.0,26.0,28.0,611.0,1.09
Osmeridae,0.428,0.912,-1.428,1.848,0.136,0.097,45.0,45.0,44.0,1279.0,1.06
Sebastidae,0.237,0.992,-1.585,1.942,0.166,0.118,36.0,36.0,37.0,1404.0,1.07
Salmonidae,0.521,1.005,-1.324,2.116,0.191,0.136,28.0,28.0,29.0,339.0,1.09
Polyprionidae,-0.287,0.855,-1.889,1.285,0.072,0.051,140.0,140.0,134.0,1393.0,1.03
Soleidae,-0.917,0.951,-2.706,0.606,0.153,0.109,39.0,39.0,40.0,1528.0,1.07
Anguillidae,0.074,0.908,-1.782,1.688,0.025,0.025,1359.0,668.0,1316.0,1453.0,1.04
Moronidae,-0.34,0.891,-2.027,1.192,0.13,0.092,47.0,47.0,49.0,1452.0,1.06
Sparidae,-0.228,0.876,-1.808,1.363,0.13,0.093,45.0,45.0,48.0,1358.0,1.06
Engraulidae,0.419,0.889,-1.267,1.869,0.153,0.109,34.0,34.0,35.0,1322.0,1.07
Triakidae,-0.499,1.027,-2.32,1.18,0.209,0.15,24.0,24.0,26.0,383.0,1.1
Myliobatidae,-0.628,0.971,-2.651,1.011,0.033,0.054,883.0,165.0,884.0,1438.0,1.02
Xiphiidae,-0.376,0.899,-2.192,1.065,0.141,0.101,41.0,41.0,42.0,1428.0,1.07
Pleuronectidae,-0.798,0.952,-2.54,0.825,0.143,0.102,44.0,44.0,44.0,1439.0,1.06
Lophiidae,-0.552,0.951,-2.337,1.214,0.072,0.054,175.0,156.0,176.0,1490.0,1.03
Scophthalmidae,-0.741,0.938,-2.477,0.897,0.128,0.091,54.0,54.0,55.0,1618.0,1.05
Mullidae,-0.235,0.894,-1.948,1.281,0.132,0.094,46.0,46.0,51.0,1572.0,1.06
Gobiidae,-0.379,0.916,-2.197,1.028,0.164,0.117,31.0,31.0,32.0,1378.0,1.08
Atherinidae,0.17,0.952,-1.703,1.671,0.149,0.106,41.0,41.0,43.0,1039.0,1.06
Belonidae,0.255,0.947,-1.453,1.957,0.126,0.09,56.0,56.0,59.0,1360.0,1.05
